message,type,behavior,spam,problems_quant
"Assine já,XXXX internet por assinatura",comment,neutral,1,0
"excelente produto!, venho bem embalado e no prazo",comment,positive,0,0
"Gostei, mas chegou atrasado",comment,positive,0,1
pessimo atendimento,comment,negative,0,1
chegou dentro do prazo,comment,positive,0,0
HORRÍVEL,comment,negative,0,0
"Comprei um Ipeg e recebi isso… o LOJA TEST PROMETEU O REEMBOLSO QUANDO EU DEVOLVESSE O PRODUTO E ATÉ AGORA NADA. Já fiz o BO na delegacia, o jeito vai ser entrar com processo judicial. NÃO COMPREM IPEG NO \n@LojaTest\n#Golpe #Ipeg #lojatest",social,negative,0,3
@LojaTest caiu? não consigo comprar nada lá e nem entrar em contato com o suporte via chat,social,question,0,2
"Prós

Carreira, salario, beneficios, projetos, cultura
Contras
Nada a contestar sobre a empresa",worker,positive,0,0
"Prós
Plano de saúde, PPR e trabalho Híbrido
Contras
BPO extremamente sangue suga, carga horária extremamente alta e fora das leis trabalhistas, eu e vários clegas já viramos a noite trabalhando para entregar o que o cliente pediu, aliás o novo merchan da Loja Test deveria ser: Sua Alma pelo Cliente, já que a vida e o sangue é obrigado doar em prol do cliente. Quem não conhece a empresa acha que é tudo lindo,mas depois que entra vê o inferno que é. Vc trabalha muito e o salárionão condiz, deve ser por isso que eles oferecem um bom plano de saúde, pois vc vai precisar dele, pode ter certeza

Conselho à presidência

O RH deveria parar de fazer propaganda enganosa e focar nas pessoas, fazer pesquisas com quem está na operação e não ficar mentindo com informações e números mentirosos, Toma vergonha RH da Accentuce, vá ouvir quem está lá na operação adoecendo com crise de ansiedade, depressão e etc..",worker,negative,0,3
"Ótimos benefícios, mas falta de confiança e liderança desmotivadora

Prós

Salário e Benefícios: O salário e os benefícios estão muito acima do mercado. Para designers, o salário varia entre R$12.000 e R$14.000, e os benefícios incluem vale-alimentação e refeição que somam quase R$2.000. A empresa também oferece um ótimo plano de saúde, odontológico, e um vale-farmácia de cerca de R$300 por mês. Esses benefícios realmente se destacam.


Contras

Cultura de desconfiança e hierarquia: A empresa possui uma forte cultura hierárquica e de desconfiança. Existe pouca autonomia, e times diferentes parecem isolados, sem muita interação entre áreas como desenvolvimento, produto e design.

Falta de oportunidades de crescimento: Não há um caminho claro para crescimento profissional. Críticas e sugestões de melhoria não são bem recebidas, e em alguns casos, podem levar à demissão de quem se manifesta.

Liderança pouco inspiradora: As lideranças muitas vezes não têm a formação ou competência necessárias e parecem desinteressadas em aprender ou se desenvolver.

Feedbacks punitivos: Feedbacks formais, ao invés de serem usados como ferramentas de desenvolvimento, podem ser usados contra as pessoas depois, criando um ambiente de medo. Além disso, a empresa tende a lidar com críticas de forma punitiva, aplicando processos de avaliação de desempenho (como PIPs) que parecem mais retaliação do que suporte ao desenvolvimento.

Controle sobre horário de trabalho: Embora a empresa afirme que há flexibilidade para o horário, na prática, monitoram quem comparece às reuniões, o que contradiz a proposta de autonomia.

Conselho à presidência

A empresa é bastante incoerente como um todo. A capacidade técnica e de comunicação não parecem ser o foco, e sim a obediência e a submissão. Se esse for realmente o objetivo, sugiro mudar a estratégia de branding, pois atualmente vocês atraem pessoas que esperam um ambiente colaborativo, o que acaba resultando em frustração, demissões e na piora da imagem da empresa.",worker,negative,0,3
